task,mediapipe_pnp_W,hamer_pnp_W,wilor_pnp_W,wilor_owncam_W,mediapipe_pnp_PA,hamer_pnp_PA,wilor_pnp_PA,wilor_owncam_PA,n_clips_frames
stock_unstock_fridge,72.2,67.0,32.1,217.7,16.8,10.7,8.8,8.8,620
sweep_dustpan,61.3,109.5,56.9,137.7,25.6,11.8,10.7,10.7,1644
thread_unthread_bead_necklace,63.5,88.4,79.3,135.2,16.6,9.7,9.0,9.0,117
throw and catch_ball,79.7,146.2,32.7,268.0,21.9,11.8,10.7,10.7,390
throw_collect_objects,74.8,71.7,25.5,171.7,19.8,11.1,10.1,10.1,693
tie and untie shoelace,47.4,74.1,40.1,176.6,15.2,11.1,9.4,9.4,649
tie_untie_rubberband,56.1,52.1,33.2,149.6,15.4,11.5,10.4,10.4,349
type_keyboard,34.1,54.2,38.1,135.7,12.3,7.9,7.4,7.4,1115
use rubiks cube,70.2,69.7,53.4,199.2,22.8,11.7,10.6,10.6,85
use_chopsticks,65.7,134.9,39.5,137.8,26.9,14.4,10.0,10.0,470
wash_fruit,45.1,57.0,34.4,154.9,19.9,11.2,11.2,11.2,89
wash_kitchen_dishes,43.9,79.6,43.7,177.5,15.5,12.3,11.7,11.7,115
wash_put_away_dishes,54.2,59.8,41.2,118.4,17.4,10.8,10.2,10.2,756
wipe screen,65.8,83.2,72.3,159.0,18.1,15.9,12.4,12.4,437
wipe_kitchen_surfaces,66.7,48.2,32.7,247.9,15.6,8.9,8.8,8.8,1486
wrap_unwrap_food,50.0,63.0,28.3,154.4,15.9,10.8,9.4,9.4,680
wrapping,29.9,51.2,31.1,128.3,15.8,10.6,9.5,9.5,539
write,159.8,152.4,119.5,204.0,15.2,10.9,10.0,10.0,442
zip unzip bag,69.6,107.6,78.6,187.8,14.5,11.7,10.6,10.6,277
zip_unzip_case,66.2,78.8,30.5,154.7,19.1,11.6,10.3,10.3,427
